"Epoch (UTC)",""
2013-02-14T01:36:05.657Z,0.65280
2013-02-14T01:36:16.512Z,0.70000
2013-02-14T01:36:27.368Z,0.76940
2013-02-14T01:36:38.224Z,0.64917
2013-02-14T01:36:49.080Z,0.83751
2013-02-14T01:36:59.935Z,0.63627
2013-02-14T01:37:10.791Z,0.69516
2013-02-14T01:37:21.647Z,0.79273
2013-02-14T01:37:32.503Z,0.58696
2013-02-14T01:37:43.358Z,0.69597
2013-02-14T01:37:54.214Z,0.72092
2013-02-14T01:38:05.070Z,0.31418
2013-02-14T01:38:15.926Z,0.80070
2013-02-14T01:38:26.782Z,0.87702
2013-02-14T01:38:37.637Z,1.0623
2013-02-14T01:38:48.493Z,0.88418
2013-02-14T01:38:59.349Z,0.74099
2013-02-14T01:39:10.205Z,0.72767
2013-02-14T01:39:21.060Z,0.85787
2013-02-14T01:39:31.916Z,0.97329
2013-02-14T01:39:42.772Z,0.85222
2013-02-14T01:39:53.628Z,0.97642
2013-02-14T01:40:04.483Z,0.94533
2013-02-14T01:40:15.339Z,0.79975
2013-02-14T01:40:26.195Z,0.83899
2013-02-14T01:40:37.051Z,0.98397
2013-02-14T01:40:47.906Z,0.90355
2013-02-14T01:40:58.762Z,0.96946
2013-02-14T01:41:09.618Z,0.91381
2013-02-14T01:41:20.474Z,0.69178
2013-02-14T01:41:31.329Z,0.80416
2013-02-14T01:41:42.185Z,0.89592
2013-02-14T01:41:53.041Z,0.65499
2013-02-14T01:42:03.897Z,0.83021
2013-02-14T01:42:14.752Z,0.77988
2013-02-14T01:42:25.608Z,0.68285
2013-02-14T01:42:36.464Z,0.66571
2013-02-14T01:42:47.320Z,0.67750
2013-02-14T01:42:58.175Z,0.79943
2013-02-14T01:43:09.031Z,0.52136
2013-02-14T01:43:19.887Z,0.53397
2013-02-14T01:43:30.743Z,0.37766
2013-02-14T01:43:41.598Z,0.58840
2013-02-14T01:43:52.454Z,0.44933
2013-02-14T01:44:03.310Z,0.40509
2013-02-14T01:44:14.166Z,0.43185
2013-02-14T01:44:25.021Z,0.46903
2013-02-14T01:44:35.877Z,0.54175
2013-02-14T01:44:46.733Z,0.36398
2013-02-14T01:44:57.589Z,0.41855
2013-02-14T01:45:08.444Z,0.51812
2013-02-14T01:45:19.300Z,0.33185
2013-02-14T01:45:30.156Z,0.38030
2013-02-14T01:45:41.012Z,0.45243
2013-02-14T01:45:51.867Z,0.44879
2013-02-14T01:46:02.723Z,0.41833
2013-02-14T01:46:13.579Z,0.33392
2013-02-14T01:46:24.434Z,0.16436
2013-02-14T01:46:35.290Z,0.57408
2013-02-14T01:46:46.146Z,0.51653
2013-02-14T01:46:57.002Z,0.17525
2013-02-14T01:47:07.858Z,0.62613
2013-02-14T01:47:18.713Z,0.48123
2013-02-14T01:47:29.569Z,0.71412
2013-02-14T01:47:40.425Z,0.39353
2013-02-14T01:47:51.280Z,0.80502
2013-02-14T01:48:02.136Z,0.81070
2013-02-14T01:48:12.992Z,0.64012
2013-02-14T01:48:23.848Z,0.62047
